genus	species	barcode	EM barcode	island	16S	ND2	ND4	COI	COII	boss	l(2)not	snf	wee	fz4	kl-2	pds5	Yp1	Yp2	Ef1g	notes
Drosophila	quasiexpansa	202532	EMEC7356127	Maui Nui	KM252225	KM252369	KM273169	KM252249	KM252497		KM252433	KM252642	KM252304			KM252480	KM273147	JN816155	JN815462	
Drosophila	redunca	201884	EMEC7356102	Maui Nui	HQ170998	HQ170906	KM273166	HQ170796	HQ170688	KM252352	KM252427	KM252634	KM252296	KM252583	KM252540	KM252476	KM273144	JN816070	JN815377	
Drosophila	seclusa	201011	EMEC7356103	Maui Nui	HQ171000	HQ170907	KM273155	HQ170798	HQ170690	KM252323	KM252399	KM252603	KM252268		KM252513	KM252447	KM273133	JN816071	JN815378	i switched the number order so it would be correct
Drosophila	sordidapex	202321	EMEC7356121	Hawaii	HQ171025	HQ170932	KM273168	HQ170822	HQ170718	KM252353	KM252429	KM252637	KM252299	HQ703611	HQ703641	HQ728791	KM273146	JN816117	JN815424	
Drosophila	nr_perissopoda_5	201034	EMEC7356108	Kauai	HQ170989	HQ170945		HQ170787	HQ170679		KM252417	KM252622		KM252572	KM252531	KM252464				
Drosophila	nr_ancyla	201020	EMEC7356105	Hawaii	HQ171007	HQ170913		HQ170805	HQ170698	KM252332	KM252407	KM252612	KM252277	KM252561	KM252520	KM252453				
Drosophila	nr_basimacula_2	201032	EMEC7356107	Kauai	HQ171003	HQ170909	KM273164		HQ170694	KM252340	KM252415	KM252621	KM252285	KM252570	KM252529	KM252462	KM273142	JN816063	JN815370	
Drosophila	nr_basimacula_3	201033	EMEC7356109	Kauai	HQ171005	HQ170911		HQ170803	HQ170696	KM252341	KM252416		KM252286	KM252571	KM252530	KM252463				
Drosophila	nr_brunneisetae	201018	EMEC7356110	Kauai	HQ171008	HQ170914		HQ170806	HQ170699	KM252330	KM252405	KM252610	KM252275	KM252560	KM252519	KM252452				
Drosophila	nr_dorsigera	201052	EMEC7356111	Kauai	KM252219	HQ170946		KM252243	HQ170700		KM252420	KM252628	KM252290	KM252577		KM252470				
Drosophila	nr_fundita	201028	EMEC7356112	Hawaii	HQ171009	HQ170915		HQ170807	HQ170701	KM252338	KM252389	KM252618	KM252283	KM252567	KM252526	KM252459				
Drosophila	nr_melanopedis	201016	EMEC7356104	Hawaii	HQ171012	HQ170918		HQ170810	HQ170704	KM252328	KM252403	KM252608	KM252273	KM252558	KM252517	KM252450				
Drosophila	nr_perissopoda_1	201035	EMEC7356098	Kauai	HQ171002	HQ170908	KM273165	HQ170800	HQ170693	KM252342	KM252418	KM252623	KM252287	KM252573	KM252532	KM252465	KM273143	JN816065	JN815372	
Drosophila	stigma	202548	EMEC7356136	Maui Nui	KM252232	KM252375		KM252256	KM252503		KM252440	KM252648	KM252310		KM252548	KM252487				
Drosophila	systenopeza	201026	EMEC7356113	Maui Nui	HQ171014	HQ170920		HQ170812	HQ170706	KM252337	KM252411	KM252616	KM252281	KM252565	KM252524	KM252457				
Drosophila	tanythrix	202520	EMEC7356128	Hawaii	HQ171031	KM252368		HQ170828	HQ170726		KC609563	KM252641	KM252303	KM252586	KM252543	KM252479				
Drosophila	torula	202545	EMEC7356132	Maui Nui	KM252229	KM252373	KM273171	KM252253		KM252359	KM252437		KM252308	KM252590		KM252484	KM273149	JN816072	JN815379	
Drosophila	trichaetosa	201013	EMEC7356114	Hawaii	HQ171016	HQ170923	KM273157	HQ170813	HQ170709	KM252325	KM252401	KM252605	KM252270	KM252556	KM252514	KM252448	KM273135		JN815380	
Drosophila	unicula	200997	EMEC7356078	Hawaii	HQ171017	HQ170924		HQ170814	HQ170710		KM252397	KM252601			KM252511					
Drosophila	waddingtoni	202431	EMEC7356124	Hawaii	HQ171028	HQ170935		HQ170825	HQ170721	KM252364	KM252387	KM252657	KM252317	HQ703622	HQ703652	HQ728802				
Drosophila	williamsi	202551	EMEC7356138	Oahu	KM252235	KM252378		KM252259	KM252506		KM252443	KM252651	KM252313		KM252551	KM252490				
Drosophila	yooni	202550	EMEC7356133	Hawaii	KM252234	KM252377		KM252258	KM252505		KM252442	KM252650	KM252312		KM252550	KM252489				
