Subset	Type	Seqs	Sites	Infor	Invar	Model	Name
223		22	2272	691	1284		part15004
224		22	1687	774	621		part18482
225		22	794	291	375		part18364
226		22	898	391	338		part17658
227		22	816	274	423		part19214
228		22	1277	577	558		part19354
229		22	653	213	352		part12788
230		22	666	264	293		part15470
231		22	915	232	523		part18343
232		22	925	252	559		part18244
233		22	1694	537	966		part15125
234		22	1104	339	569		part18132
235		22	673	227	349		part19384
236		22	832	312	399		part13525
237		22	1015	356	544		part15483
238		22	518	206	228		part19032
239		22	941	295	562		part18208
240		22	491	101	337		part19363
241		22	804	302	423		part19138
242		22	1136	363	657		part18262
243		22	811	208	481		part19206
244		22	526	177	269		part19184
245		22	1060	470	441		part19225
246		22	1434	483	750		part16999
247		22	659	110	477		part17962
248		22	891	293	456		part17466
249		22	493	96	327		part19356
250		22	533	88	353		part19482
251		22	1030	393	455		part17620
252		22	1403	556	654		part14965
253		22	399	151	207		part19357
254		22	734	261	388		part16573
255		22	611	106	383		part16687
256		22	1521	458	914		part13116
257		22	621	168	386		part19352
258		22	854	309	400		part19283
259		22	1023	370	543		part19447
260		22	923	332	509		part18315
261		22	1739	671	808		part19292
262		22	1281	459	566		part16505
263		22	844	376	336		part19053
264		22	719	254	372		part19101
265		22	614	164	334		part19470
266		22	771	327	314		part19233
267		22	1063	311	616		part19084
268		22	1219	415	648		part17564
269		22	1021	345	522		part19461
270		22	722	284	309		part18673
271		22	568	207	307		part19382
272		22	630	151	375		part13746
273		22	819	171	538		part17003
274		22	933	241	542		part18344
275		22	1570	645	678		part17943
276		22	638	353	191		part19464
277		22	876	288	442		part19336
278		22	1345	495	645		part19392
279		22	815	364	361		part19374
280		22	949	267	575		part18160
281		22	1310	510	618		part18100
282		22	823	293	342		part18408
283		22	762	316	334		part19377
284		22	687	180	415		part19168
285		22	708	302	264		part17990
286		22	837	274	384		part18055
287		22	791	223	458		part19466
288		22	1070	372	598		part19154
289		22	751	244	422		part19275
290		22	1361	461	769		part17271
291		22	2087	898	808		part19383
292		22	1208	389	587		part19462
293		22	1208	498	485		part18267
294		22	1020	321	578		part18385
295		22	1900	694	998		part19306
296		22	1523	665	661		part19137
297		22	574	174	319		part19457
298		22	583	185	284		part14049
299		22	996	350	521		part18023
300		22	504	181	257		part19197
301		22	711	225	380		part19241
302		22	980	343	528		part19252
303		22	935	511	298		part19426
304		22	878	300	460		part19307
305		22	1100	230	758		part17737
306		22	916	376	419		part16356
307		22	725	240	400		part18387
308		22	1051	371	566		part18022
309		22	1074	395	564		part18116
310		22	637	188	374		part18302
311		22	797	299	416		part19423
312		22	929	398	376		part19259
313		22	1310	484	690		part18079
314		22	1341	413	785		part18001
315		22	949	218	603		part19417
316		22	2531	811	1417		part18945
317		22	749	264	373		part18470
318		22	1173	360	682		part19216
319		22	1249	464	623		part16914
320		22	1383	420	785		part18026
321		22	709	293	322		part19251
322		22	891	308	396		part18161
323		22	1391	435	820		part15506
324		22	723	332	288		part19232
325		22	1505	458	834		part18386
326		22	844	310	360		part14508
327		22	1332	302	915		part16577
328		22	671	274	278		part19304
329		22	830	318	379		part19114
330		22	683	208	388		part19375
331		22	1186	317	659		part19105
332		22	483	156	291		part19240
333		22	1062	340	535		part19367
334		22	1057	402	501		part18185
335		22	2470	740	1522		part14944
336		22	1699	561	926		part13658
337		22	1042	337	532		part19286
338		22	1419	627	499		part17677
339		22	459	148	259		part18123
340		22	961	324	523		part17817
341		22	753	246	419		part19149
342		22	575	206	273		part19439
343		22	968	426	410		part19133
344		22	783	324	296		part18980
345		22	959	259	502		part17811
346		22	1252	421	658		part19159
347		22	729	279	361		part18500
348		22	633	228	298		part19136
349		22	887	397	380		part19095
350		22	678	236	375		part19276
351		22	604	119	420		part19477
352		22	1290	574	482		part16128
353		22	981	343	494		part18115
354		22	906	254	542		part19182
355		22	467	153	243		part19297
356		22	649	300	255		part19035
357		22	953	423	356		part19102
358		22	848	259	459		part19220
359		22	2536	1100	1115		part15299
360		22	1146	423	550		part19287
361		22	657	286	264		part19093
362		22	806	356	290		part18138
363		22	1443	501	787		part19261
364		22	951	266	527		part19139
365		22	512	153	299		part19079
366		22	874	342	359		part19322
367		22	738	252	367		part12789
368		22	1455	479	711		part18282
369		22	1163	362	641		part19277
370		22	832	189	520		part17367
371		22	746	307	279		part19248
372		22	1378	869	256		part15859
373		22	565	168	316		part15268
374		22	934	342	483		part19195
375		22	1553	358	1045		part16118
376		22	710	255	353		part18447
377		22	1404	531	656		part19280
378		22	955	268	559		part13442
379		22	1283	232	779		part18195
380		22	875	321	440		part18275
381		22	1535	447	868		part13117
382		22	825	335	347		part19131
383		21	638	235	269		part14427
384		21	801	59	650		part13594
385		21	552	144	318		part19739
386		21	731	119	537		part19692
387		21	859	345	396		part18930
388		21	628	199	340		part19619
389		21	2182	708	1141		part14110
390		21	1337	387	819		part18696
391		21	533	177	289		part19598
392		21	1199	488	531		part18555
393		21	457	109	278		part19850
394		21	472	157	263		part19511
395		21	509	215	205		part19519
396		21	903	344	437		part15548
397		21	634	160	394		part19662
398		21	491	182	237		part19518
399		21	897	227	555		part19885
400		21	1129	434	513		part19667
401		21	737	321	282		part19591
402		21	570	211	292		part19625
403		21	1602	562	857		part19809
404		21	779	260	439		part18705
405		21	1095	450	528		part19565
406		21	1482	554	727		part15871
407		21	470	99	269		part13775
408		21	719	240	374		part18920
409		21	666	215	327		part19624
410		21	1517	480	821		part17039
411		21	789	251	445		part13482
412		21	1318	600	472		part18950
413		21	831	443	262		part19783
414		21	1330	566	601		part19784
415		21	1326	398	731		part15064
416		21	574	217	267		part14061
417		21	513	207	263		part19900
418		21	574	216	282		part19860
419		21	1150	432	568		part18793
420		21	1148	395	633		part18624
421		21	855	143	623		part17696
422		21	749	223	443		part16054
423		21	1283	579	491		part13786
424		21	1748	526	950		part16349
425		21	910	276	524		part19906
426		21	1085	343	580		part19547
427		21	767	250	399		part18834
428		21	919	303	526		part18734
429		21	1832	817	698		part18877
430		21	1174	467	513		part14901
431		21	478	155	268		part19693
432		21	1030	238	645		part18726
433		21	1164	455	498		part19665
434		21	594	196	327		part19872
435		21	698	114	465		part19775
436		21	667	217	368		part19559
437		21	747	373	268		part15900
438		21	1212	418	622		part19820
439		21	1455	373	895		part18376
440		21	1222	479	588		part18992
441		21	921	374	408		part18799
442		21	1397	490	747		part19785
443		21	647	201	348		part19732
444		21	730	228	436		part19658
445		21	663	219	358		part19592
446		21	2008	836	836		part15082
447		21	919	390	401		part18355
448		21	687	292	301		part19529
449		21	646	234	314		part18531
450		21	720	204	433		part13748
451		21	940	437	307		part19808
452		21	595	199	363		part19899
453		21	1720	716	614		part16512
454		21	585	211	261		part14186
455		21	880	233	551		part12826
456		21	611	207	308		part19703
457		21	429	145	249		part19524
458		21	953	414	370		part18766
459		21	766	296	386		part18923
460		21	1009	351	464		part19859
461		21	1005	428	433		part19563
462		21	1712	649	827		part18560
463		21	771	277	422		part19059
464		21	1553	520	795		part17249
465		21	828	319	372		part19675
466		21	996	310	580		part18794
467		21	1061	484	410		part19517
468		21	700	306	294		part18917
469		21	1171	432	570		part17725
470		21	438	146	231		part19500
471		21	1438	546	666		part19616
472		21	599	268	267		part19771
473		21	1078	392	549		part19733
474		21	946	352	488		part19875
475		21	1163	387	667		part19561
476		21	1036	298	611		part18751
477		21	506	124	338		part19718
478		21	1088	422	513		part18485
479		21	482	140	281		part19903
480		21	879	280	465		part19876
481		21	351	108	214		part19858
482		21	997	294	570		part18611
483		21	804	230	424		part19574
484		21	676	202	369		part19659
485		21	805	249	407		part19041
486		21	554	192	256		part19577
487		21	1067	482	431		part13610
488		21	1347	484	709		part17874
489		21	808	220	487		part18141
490		21	992	263	631		part18887
491		21	2414	764	1212		part17389
492		21	895	391	333		part19226
493		21	742	232	404		part19912
494		21	657	283	270		part19676
495		21	1008	428	436		part19583
496		21	757	321	327		part19593
497		21	842	285	439		part19844
498		21	714	191	460		part19886
499		21	1771	524	1092		part15136
500		21	836	322	370		part18082
501		21	870	356	384		part19802
502		21	1201	495	500		part17680
503		21	1193	489	544		part18725
504		21	1678	627	814		part19546
505		21	731	316	324		part18918
506		21	1181	218	793		part17964
507		21	1414	431	761		part17949
508		21	872	273	435		part17860
509		21	744	236	414		part18889
510		21	1199	440	580		part18654
511		21	1027	354	556		part12869
512		21	730	262	338		part19617
513		21	991	353	522		part18584
514		21	1466	798	426		part18484
515		21	988	378	363		part18856
516		21	1001	359	540		part18613
517		21	755	275	328		part17763
518		21	552	255	195		part13514
519		21	1194	365	644		part18250
520		21	778	259	401		part18679
521		21	790	320	276		part19115
522		21	547	202	288		part19764
523		21	794	375	298		part19569
524		21	2222	638	1234		part14712
525		21	1273	556	459		part18670
526		21	1911	615	1017		part17976
527		21	789	237	456		part19590
528		21	1272	424	718		part17887
529		21	903	314	481		part18544
530		21	525	207	262		part19586
531		21	988	355	467		part19566
532		21	872	291	469		part18798
533		21	900	342	447		part19742
534		21	1183	508	522		part18892
535		21	2022	852	787		part19134
536		21	1526	493	742		part18996
537		21	941	395	360		part18687
538		21	887	301	457		part15949
539		21	996	426	395		part13640
540		21	1579	728	562		part18962
541		21	729	245	356		part14557
542		21	625	283	245		part18970
543		21	1082	281	651		part19770
544		21	2059	869	910		part19815
545		21	564	178	300		part19893
546		21	1332	534	543		part14680
547		21	894	398	356		part18795
548		21	888	349	404		part19889
549		21	508	202	248		part19888
550		21	799	250	370		part18668
551		21	1594	364	1080		part16802
552		21	596	261	243		part19877
553		21	1180	314	728		part18833
554		21	1004	472	383		part17459
555		21	651	201	363		part19651
556		21	1380	650	501		part18709
557		21	845	234	542		part15298
558		21	2407	742	1394		part16540
559		21	1134	411	557		part19801
560		21	1652	537	868		part19611
561		21	1484	608	642		part18872
562		21	478	172	233		part19551
563		21	1247	421	637		part15283
564		21	958	570	241		part19610
565		21	853	297	361		part19836
566		21	498	101	283		part18722
567		21	477	109	309		part19799
568		21	1535	450	858		part14590
569		20	1063	549	305		part20268
570		20	661	206	375		part19155
571		20	829	165	473		part17133
572		20	451	163	245		part20301
573		20	1636	501	1003		part13939
574		20	546	91	397		part20047
575		20	958	363	395		part19632
576		20	496	156	245		part20180
577		20	710	365	193		part19567
578		20	709	238	329		part20234
579		20	599	217	259		part20137
580		20	1505	391	959		part20114
581		20	1644	714	683		part19984
582		20	2430	665	1371		part20172
583		20	1438	605	631		part19979
584		20	2196	980	865		part20067
585		20	1885	720	795		part20143
586		20	874	375	373		part18929
587		20	1033	362	475		part14163
588		20	992	452	411		part20046
589		20	485	201	220		part19940
590		20	434	146	215		part20223
591		20	866	298	445		part19982
592		20	495	237	208		part20027
593		20	592	148	369		part19308
594		20	954	261	564		part20208
595		20	643	209	361		part15901
596		20	1658	610	820		part18596
597		20	1365	602	551		part17123
598		20	2349	1079	909		part19416
599		20	886	371	366		part13104
600		20	785	297	419		part20099
601		20	1131	368	576		part18549
602		20	886	329	449		part20328
603		20	823	333	384		part13960
604		20	1253	426	665		part14640
605		20	2657	1103	1195		part15305
606		20	473	128	193		part20319
607		20	609	121	385		part19376
608		20	1010	330	529		part13784
609		20	387	125	229		part19476
610		20	705	225	391		part19205
611		20	657	125	442		part19207
612		20	1326	506	609		part14896
613		20	648	189	394		part20119
614		20	670	166	403		part19301
615		20	994	260	599		part14564
616		20	1782	469	1117		part19321
617		20	560	116	392		part19189
618		20	1183	320	720		part19191
619		20	1385	434	742		part20304
620		20	467	122	268		part20334
621		20	652	197	338		part19181
622		20	470	160	251		part20229
623		20	1070	407	472		part20331
624		20	1447	395	909		part16357
625		20	1149	397	662		part19014
626		20	937	396	395		part19394
627		20	3139	1416	1246		part20283
628		20	1169	483	525		part19719
629		20	1245	546	516		part19469
630		20	1095	404	557		part12984
631		20	1012	450	411		part20066
632		20	1380	403	866		part20037
633		20	877	317	444		part19456
634		20	2129	696	1214		part18837
635		20	520	210	240		part20249
636		20	841	563	175		part13862
637		20	1038	372	550		part19078
638		20	618	222	304		part20235
639		20	663	212	378		part18698
640		20	1130	442	520		part20049
641		20	552	223	233		part20098
642		20	905	335	358		part20176
643		20	2102	816	984		part19427
644		20	452	174	226		part19968
645		20	1597	504	964		part18191
646		20	660	255	313		part20025
647		20	591	203	335		part20050
648		20	1419	456	632		part19288
649		20	940	505	296		part20029
650		20	492	192	249		part20222
651		20	781	238	419		part19338
652		20	857	209	518		part17516
653		20	1530	541	813		part18098
654		20	524	222	213		part20298
655		20	762	179	474		part20149
656		20	607	199	338		part19087
657		20	876	300	477		part19172
658		20	802	250	435		part20030
659		20	413	87	277		part20336
660		20	1146	424	611		part19132
661		20	894	392	351		part19253
662		20	1296	521	592		part19305
663		20	827	329	409		part19016
664		20	862	305	462		part19057
665		20	1636	587	860		part18688
666		20	966	352	456		part20244
667		20	471	153	239		part20183
668		20	694	164	442		part20287
669		20	1295	442	651		part18094
670		20	712	261	348		part14146
671		20	1127	381	616		part19919
672		20	771	275	346		part20326
673		20	2863	1107	1305		part15055
674		20	1047	416	481		part20246
675		20	470	214	199		part20043
676		20	1056	496	394		part20324
677		20	1694	431	1065		part19017
678		20	764	312	336		part19922
679		20	381	124	211		part19963
680		20	666	259	305		part19908
681		20	1320	425	785		part19355
682		20	1142	478	537		part17571
683		20	820	286	424		part20068
684		20	757	265	356		part20332
685		20	830	256	502		part19209
686		20	946	329	493		part20064
687		20	1556	678	664		part19104
688		20	2014	572	1168		part18659
689		20	1633	742	621		part19988
690		20	1339	476	625		part19056
691		20	767	316	344		part19103
692		20	845	343	358		part13938
693		20	1408	488	616		part15411
694		20	969	343	499		part20231
695		20	1491	617	630		part18217
696		20	828	331	392		part20273
697		20	783	214	455		part15409
698		20	1000	435	407		part20009
699		20	661	200	402		part19381
700		20	599	265	287		part19127
701		20	582	266	246		part19983
702		20	795	286	396		part19962
703		20	959	324	457		part19970
704		20	1477	667	569		part18775
705		20	1302	492	612		part20031
706		20	684	230	392		part19267
707		20	2311	933	1070		part16652
708		20	1360	511	683		part19393
709		20	1490	588	706		part18907
710		20	1361	545	634		part16663
711		20	728	179	484		part18916
712		20	2068	967	774		part17739
713		20	1162	446	565		part20150
714		20	1090	338	575		part19153
715		20	1179	302	747		part19448
716		20	1911	649	959		part15449
717		20	897	298	515		part20310
718		20	1166	477	519		part20006
719		20	1523	573	719		part20335
720		20	1253	409	723		part18445
721		20	1474	625	662		part18383
722		20	772	246	400		part20105
723		20	1036	420	428		part19069
724		20	763	275	392		part20179
725		20	780	247	404		part18729
726		20	2063	610	1230		part13745
727		20	2933	1131	1344		part15000
728		20	719	338	276		part13995
729		20	632	212	344		part20170
730		20	1683	655	808		part20032
731		20	623	237	302		part19183
732		20	821	302	408		part20082
733		20	1009	255	574		part15593
734		20	606	188	373		part20155
735		20	2132	1006	720		part15733
736		20	2288	798	1287		part18529
737		20	571	246	247		part20164
738		20	1279	526	515		part18904
739		20	907	320	444		part20018
740		20	951	224	625		part16823
741		20	673	278	272		part20220
742		20	705	189	431		part18617
743		20	770	237	463		part19260
744		20	604	196	319		part20194
745		20	606	155	343		part20201
746		20	2987	872	1791		part17563
747		20	1191	409	658		part18065
748		20	840	216	514		part19179
749		20	1066	436	442		part19160
750		20	439	159	220		part19926
751		20	435	125	242		part20228
752		20	1455	679	551		part19100
753		20	921	406	377		part20012
754		20	412	144	217		part20318
755		20	1339	492	646		part14540
756		20	476	163	243		part20088
757		20	653	193	385		part20291
758		20	1059	397	444		part20017
759		20	447	153	243		part20321
760		20	1044	530	353		part20139
761		19	576	131	324		part19845
762		19	1476	495	753		part19440
763		19	1033	389	486		part19560
764		19	1169	335	686		part17324
765		19	1010	341	465		part20365
766		19	536	217	237		part20303
767		19	1108	372	573		part14503
768		19	1035	324	551		part20635
769		19	787	284	412		part20390
770		19	658	324	213		part19852
771		19	1293	422	706		part17393
772		19	927	451	327		part13184
773		19	889	386	360		part20604
774		19	726	267	275		part20453
775		19	1002	304	530		part18956
776		19	1047	278	616		part15243
777		19	2096	851	971		part16384
778		19	689	258	287		part14364
779		19	601	247	235		part14911
780		19	622	263	278		part19496
781		19	1241	567	454		part20633
782		19	855	434	283		part19694
783		19	1198	551	475		part19544
784		19	621	188	362		part18183
785		19	499	174	288		part20439
786		19	1539	578	578		part13767
787		19	396	77	276		part20533
788		19	1460	759	478		part19599
789		19	1789	596	954		part16219
790		19	2033	590	1045		part20520
791		19	1336	520	624		part19437
792		19	1361	747	400		part20045
793		19	401	127	225		part20668
794		19	2428	1191	896		part17861
795		19	786	371	292		part20238
796		19	1365	488	724		part16536
797		19	894	287	466		part15684
798		19	723	263	284		part20430
799		19	798	410	244		part16410
800		19	725	202	429		part20584
801		19	1604	592	739		part17512
802		19	2410	846	1200		part18374
803		19	1913	861	739		part13591
804		19	2094	807	914		part15980
805		19	702	227	355		part20529
806		19	1425	334	913		part16835
807		19	894	300	402		part13686
808		19	919	281	462		part17865
809		19	1663	857	544		part14942
810		19	1206	378	633		part17740
811		19	506	214	213		part20583
812		19	592	189	332		part20429
813		19	1091	477	394		part14709
814		19	859	426	303		part20471
815		19	1489	467	794		part19585
816		19	964	290	538		part20544
817		19	1043	279	627		part19824
818		19	705	237	370		part13590
819		19	1280	324	747		part16551
820		19	1057	201	740		part15802
821		19	690	177	444		part20574
822		19	936	327	476		part20600
823		19	923	290	578		part20494
824		19	686	279	317		part14603
825		19	1467	539	726		part14806
826		19	882	305	431		part13982
827		19	709	212	397		part15979
828		19	968	346	480		part20438
829		19	928	293	516		part20503
830		19	1070	275	636		part14429
831		19	1014	292	594		part20433
832		19	990	393	480		part20498
833		19	1747	369	1112		part15809
834		19	1362	423	716		part18937
835		19	571	221	224		part20505
836		19	787	289	356		part14691
837		19	1670	682	687		part16819
838		19	649	240	340		part19807
839		19	770	197	495		part19512
840		19	1273	533	554		part16748
841		19	923	269	485		part15618
842		19	665	195	388		part18192
843		19	934	290	499		part16595
844		19	638	221	313		part16677
845		19	466	124	291		part20579
846		19	765	289	364		part19568
847		19	706	288	307		part19637
848		19	1727	483	1042		part15785
849		19	906	425	311		part18460
850		19	1107	390	548		part20514
851		19	704	193	414		part15317
852		19	633	197	360		part15510
853		19	1063	461	463		part19648
854		19	493	183	258		part17274
855		19	905	378	386		part19562
856		19	1559	509	833		part16467
857		19	878	403	353		part20501
858		19	1288	502	579		part18774
859		19	982	430	395		part13176
860		19	868	217	525		part20426
861		19	1257	336	738		part20590
862		19	1027	413	495		part16820
863		19	1843	562	1039		part15090
864		19	1996	848	801		part20489
865		19	579	250	253		part20540
866		19	811	295	393		part19756
867		19	1015	369	503		part19584
868		19	713	162	465		part19682
869		19	888	278	466		part15339
870		19	1373	744	454		part20517
871		19	809	280	360		part20469
872		19	812	230	419		part12960
873		19	1166	464	477		part17084
874		19	1389	394	865		part17504
875		19	906	291	512		part14504
876		19	929	331	499		part20354
877		19	561	182	292		part19695
878		19	1061	349	577		part14195
879		19	1251	189	815		part15431
880		19	2117	651	1175		part15413
881		19	789	406	277		part19070
882		19	792	238	442		part20491
883		19	953	432	383		part20364
884		19	429	152	215		part20661
885		19	1089	481	423		part20538
886		19	1221	496	542		part19224
887		19	1258	460	635		part17730
888		19	637	177	382		part20406
889		19	1036	533	347		part20548
890		19	1749	775	689		part17264
891		19	583	169	274		part19673
892		19	1488	560	775		part17523
893		19	2542	973	1226		part17526
894		19	935	395	374		part20355
895		19	1542	455	855		part17028
896		19	1045	298	569		part19803
897		19	1102	349	608		part19552
898		19	1337	420	730		part19760
899		19	1091	331	669		part19669
900		19	1213	510	497		part20552
901		19	1880	657	760		part18577
902		19	996	369	484		part18286
903		19	1120	440	500		part20510
904		19	1274	346	767		part19513
905		19	550	227	250		part20371
906		19	3698	1254	1883		part20597
907		19	766	249	456		part20373
908		19	1113	486	405		part20344
909		19	1109	421	529		part20413
910		19	1119	625	305		part20665
911		19	1187	433	573		part19871
912		19	804	312	373		part18562
913		19	1696	477	1045		part20458
914		19	1335	487	664		part19851
915		19	2083	680	1092		part16141
916		19	753	289	375		part20444
917		19	854	338	410		part19754
918		19	761	191	490		part20566
919		19	900	450	306		part20401
920		19	872	339	432		part20443
921		19	883	299	475		part19825
922		19	1455	526	626		part17675
923		19	1084	413	524		part14661
924		19	1072	442	471		part20620
925		19	1921	767	875		part14452
926		19	3177	1082	1671		part17047
927		19	480	159	238		part20412
928		19	2653	519	1846		part14487
929		19	1250	497	591		part14741
930		19	398	97	258		part20624
931		19	1144	475	482		part19681
932		19	900	357	404		part20531
933		19	1026	490	409		part19510
934		19	1732	599	930		part20536
935		19	440	163	202		part20435
936		19	1496	653	583		part17231
937		19	981	411	465		part20492
938		19	1691	318	1167		part16465
939		19	1331	407	826		part13749
940		19	708	351	237		part20102
941		19	927	271	554		part20488
942		19	1148	316	642		part19327
943		19	689	196	396		part20402
944		19	762	286	386		part20618
945		19	1436	488	730		part20663
946		19	977	380	475		part18548
947		19	659	233	295		part16761
948		19	905	494	240		part20550
949		19	638	226	322		part20069
950		19	2832	972	1412		part20414
951		19	681	187	435		part14196
952		19	779	295	353		part16087
953		19	782	176	513		part18855
954		19	644	190	407		part20436
955		19	1839	505	1185		part15504
956		19	1280	529	581		part14174
957		19	666	183	390		part19835
958		19	800	438	240		part19789
959		19	895	331	431		part16368
960		19	2175	739	1029		part17148
