partition	seq
part19079	376684-377195
part19322	377196-378069
part12789	378070-378807
part18282	378808-380262
part19277	380263-381425
part17367	381426-382257
part19248	382258-383003
part15859	383004-384381
part15268	384382-384946
part19195	384947-385880
part16118	385881-387433
part18447	387434-388143
part19280	388144-389547
part13442	389548-390502
part18195	390503-391785
part18275	391786-392660
part13117	392661-394195
part19131	394196-395020
part14427	395021-395658
part13594	395659-396459
part19739	396460-397011
part19692	397012-397742
part18930	397743-398601
part19619	398602-399229
part14110	399230-401411
part18696	401412-402748
part19598	402749-403281
part18555	403282-404480
part19850	404481-404937
part19511	404938-405409
part19519	405410-405918
part15548	405919-406821
part19662	406822-407455
part19518	407456-407946
part19885	407947-408843
part19667	408844-409972
part19591	409973-410709
part19625	410710-411279
part19809	411280-412881
part18705	412882-413660
part19565	413661-414755
part15871	414756-416237
part13775	416238-416707
part18920	416708-417426
part19624	417427-418092
part17039	418093-419609
part13482	419610-420398
part18950	420399-421716
part19783	421717-422547
part19784	422548-423877
part15064	423878-425203
part14061	425204-425777
part19900	425778-426290
part19860	426291-426864
part18793	426865-428014
part18624	428015-429162
part17696	429163-430017
part16054	430018-430766
part13786	430767-432049
part16349	432050-433797
part19906	433798-434707
part19547	434708-435792
part18834	435793-436559
part18734	436560-437478
part18877	437479-439310
part14901	439311-440484
part19693	440485-440962
part18726	440963-441992
part19665	441993-443156
part19872	443157-443750
part19775	443751-444448
part19559	444449-445115
part15900	445116-445862
part19820	445863-447074
part18376	447075-448529
part18992	448530-449751
part18799	449752-450672
part19785	450673-452069
part19732	452070-452716
part19658	452717-453446
part19592	453447-454109
part15082	454110-456117
part18355	456118-457036
part19529	457037-457723
part18531	457724-458369
part13748	458370-459089
part19808	459090-460029
part19899	460030-460624
part16512	460625-462344
part14186	462345-462929
part12826	462930-463809
part19703	463810-464420
part19524	464421-464849
part18766	464850-465802
part18923	465803-466568
part19859	466569-467577
part19563	467578-468582
part18560	468583-470294
part19059	470295-471065
part17249	471066-472618
part19675	472619-473446
part18794	473447-474442
part19517	474443-475503
part18917	475504-476203
part17725	476204-477374
part19500	477375-477812
part19616	477813-479250
part19771	479251-479849
part19733	479850-480927
part19875	480928-481873
part19561	481874-483036
part18751	483037-484072
part19718	484073-484578
part18485	484579-485666
part19903	485667-486148
part19876	486149-487027
part19858	487028-487378
part18611	487379-488375
part19574	488376-489179
part19659	489180-489855
part19041	489856-490660
part19577	490661-491214
part13610	491215-492281
part17874	492282-493628
part18141	493629-494436
part18887	494437-495428
part17389	495429-497842
part19226	497843-498737
part19912	498738-499479
part19676	499480-500136
part19583	500137-501144
part19593	501145-501901
part19844	501902-502743
part19886	502744-503457
part15136	503458-505228
part18082	505229-506064
part19802	506065-506934
part17680	506935-508135
part18725	508136-509328
part19546	509329-511006
part18918	511007-511737
part17964	511738-512918
part17949	512919-514332
part17860	514333-515204
part18889	515205-515948
part18654	515949-517147
part12869	517148-518174
part19617	518175-518904
part18584	518905-519895
part18484	519896-521361
part18856	521362-522349
part18613	522350-523350
part17763	523351-524105
part13514	524106-524657
part18250	524658-525851
part18679	525852-526629
part19115	526630-527419
part19764	527420-527966
part19569	527967-528760
part14712	528761-530982
part18670	530983-532255
part17976	532256-534166
part19590	534167-534955
part17887	534956-536227
part18544	536228-537130
part19586	537131-537655
part19566	537656-538643
part18798	538644-539515
part19742	539516-540415
part18892	540416-541598
part19134	541599-543620
part18996	543621-545146
part18687	545147-546087
part15949	546088-546974
part13640	546975-547970
part18962	547971-549549
part14557	549550-550278
part18970	550279-550903
part19770	550904-551985
part19815	551986-554044
part19893	554045-554608
part14680	554609-555940
part18795	555941-556834
part19889	556835-557722
part19888	557723-558230
part18668	558231-559029
part16802	559030-560623
part19877	560624-561219
part18833	561220-562399
part17459	562400-563403
part19651	563404-564054
part18709	564055-565434
part15298	565435-566279
part16540	566280-568686
part19801	568687-569820
part19611	569821-571472
part18872	571473-572956
part19551	572957-573434
part15283	573435-574681
part19610	574682-575639
part19836	575640-576492
part18722	576493-576990
part19799	576991-577467
part14590	577468-579002
part20268	579003-580065
part19155	580066-580726
part17133	580727-581555
part20301	581556-582006
part13939	582007-583642
part20047	583643-584188
part19632	584189-585146
part20180	585147-585642
part19567	585643-586352
part20234	586353-587061
part20137	587062-587660
part20114	587661-589165
part19984	589166-590809
part20172	590810-593239
part19979	593240-594677
part20067	594678-596873
part20143	596874-598758
part18929	598759-599632
part14163	599633-600665
part20046	600666-601657
part19940	601658-602142
part20223	602143-602576
part19982	602577-603442
part20027	603443-603937
part19308	603938-604529
part20208	604530-605483
part15901	605484-606126
part18596	606127-607784
part17123	607785-609149
part19416	609150-611498
part13104	611499-612384
part20099	612385-613169
part18549	613170-614300
part20328	614301-615186
part13960	615187-616009
part14640	616010-617262
part15305	617263-619919
part20319	619920-620392
part19376	620393-621001
part13784	621002-622011
part19476	622012-622398
part19205	622399-623103
part19207	623104-623760
part14896	623761-625086
part20119	625087-625734
part19301	625735-626404
part14564	626405-627398
part19321	627399-629180
part19189	629181-629740
part19191	629741-630923
part20304	630924-632308
part20334	632309-632775
part19181	632776-633427
part20229	633428-633897
part20331	633898-634967
part16357	634968-636414
part19014	636415-637563
part19394	637564-638500
part20283	638501-641639
part19719	641640-642808
part19469	642809-644053
part12984	644054-645148
part20066	645149-646160
part20037	646161-647540
part19456	647541-648417
part18837	648418-650546
part20249	650547-651066
part13862	651067-651907
part19078	651908-652945
part20235	652946-653563
part18698	653564-654226
part20049	654227-655356
part20098	655357-655908
part20176	655909-656813
part19427	656814-658915
part19968	658916-659367
part18191	659368-660964
part20025	660965-661624
part20050	661625-662215
part19288	662216-663634
part20029	663635-664574
part20222	664575-665066
part19338	665067-665847
part17516	665848-666704
part18098	666705-668234
part20298	668235-668758
part20149	668759-669520
part19087	669521-670127
part19172	670128-671003
part20030	671004-671805
part20336	671806-672218
part19132	672219-673364
part19253	673365-674258
part19305	674259-675554
part19016	675555-676381
part19057	676382-677243
part18688	677244-678879
part20244	678880-679845
part20183	679846-680316
part20287	680317-681010
part18094	681011-682305
part14146	682306-683017
part19919	683018-684144
part20326	684145-684915
part15055	684916-687778
part20246	687779-688825
part20043	688826-689295
part20324	689296-690351
part19017	690352-692045
part19922	692046-692809
part19963	692810-693190
part19908	693191-693856
part19355	693857-695176
part17571	695177-696318
part20068	696319-697138
part20332	697139-697895
part19209	697896-698725
part20064	698726-699671
part19104	699672-701227
part18659	701228-703241
part19988	703242-704874
part19056	704875-706213
part19103	706214-706980
part13938	706981-707825
part15411	707826-709233
part20231	709234-710202
part18217	710203-711693
part20273	711694-712521
part15409	712522-713304
part20009	713305-714304
part19381	714305-714965
part19127	714966-715564
part19983	715565-716146
part19962	716147-716941
part19970	716942-717900
part18775	717901-719377
part20031	719378-720679
part19267	720680-721363
part16652	721364-723674
part19393	723675-725034
part18907	725035-726524
part16663	726525-727885
part18916	727886-728613
part17739	728614-730681
part20150	730682-731843
part19153	731844-732933
part19448	732934-734112
part15449	734113-736023
part20310	736024-736920
part20006	736921-738086
part20335	738087-739609
part18445	739610-740862
part18383	740863-742336
part20105	742337-743108
part19069	743109-744144
part20179	744145-744907
part18729	744908-745687
part13745	745688-747750
part15000	747751-750683
part13995	750684-751402
part20170	751403-752034
part20032	752035-753717
part19183	753718-754340
part20082	754341-755161
part15593	755162-756170
part20155	756171-756776
part15733	756777-758908
part18529	758909-761196
part20164	761197-761767
part18904	761768-763046
part20018	763047-763953
part16823	763954-764904
part20220	764905-765577
part18617	765578-766282
part19260	766283-767052
part20194	767053-767656
part20201	767657-768262
part17563	768263-771249
part18065	771250-772440
part19179	772441-773280
part19160	773281-774346
part19926	774347-774785
part20228	774786-775220
part19100	775221-776675
part20012	776676-777596
part20318	777597-778008
part14540	778009-779347
part20088	779348-779823
part20291	779824-780476
part20017	780477-781535
part20321	781536-781982
part20139	781983-783026
part19845	783027-783602
part19440	783603-785078
part19560	785079-786111
part17324	786112-787280
part20365	787281-788290
part20303	788291-788826
part14503	788827-789934
part20635	789935-790969
part20390	790970-791756
part19852	791757-792414
part17393	792415-793707
part13184	793708-794634
part20604	794635-795523
part20453	795524-796249
part18956	796250-797251
part15243	797252-798298
part16384	798299-800394
part14364	800395-801083
part14911	801084-801684
part19496	801685-802306
part20633	802307-803547
part19694	803548-804402
part19544	804403-805600
part18183	805601-806221
part20439	806222-806720
part13767	806721-808259
part20533	808260-808655
part19599	808656-810115
part16219	810116-811904
part20520	811905-813937
part19437	813938-815273
part20045	815274-816634
part20668	816635-817035
part17861	817036-819463
part20238	819464-820249
part16536	820250-821614
part15684	821615-822508
part20430	822509-823231
part16410	823232-824029
part20584	824030-824754
part17512	824755-826358
part18374	826359-828768
part13591	828769-830681
part15980	830682-832775
part20529	832776-833477
part16835	833478-834902
part13686	834903-835796
part17865	835797-836715
part14942	836716-838378
part17740	838379-839584
part20583	839585-840090
part20429	840091-840682
part14709	840683-841773
part20471	841774-842632
part19585	842633-844121
part20544	844122-845085
part19824	845086-846128
part13590	846129-846833
part16551	846834-848113
part15802	848114-849170
part20574	849171-849860
part20600	849861-850796
part20494	850797-851719
part14603	851720-852405
part14806	852406-853872
part13982	853873-854754
part15979	854755-855463
part20438	855464-856431
part20503	856432-857359
part14429	857360-858429
part20433	858430-859443
part20498	859444-860433
part15809	860434-862180
part18937	862181-863542
part20505	863543-864113
part14691	864114-864900
part16819	864901-866570
part19807	866571-867219
part19512	867220-867989
part16748	867990-869262
part15618	869263-870185
part18192	870186-870850
part16595	870851-871784
part16677	871785-872422
part20579	872423-872888
part19568	872889-873653
part19637	873654-874359
part15785	874360-876086
part18460	876087-876992
part20514	876993-878099
part15317	878100-878803
part15510	878804-879436
part19648	879437-880499
part17274	880500-880992
part19562	880993-881897
part16467	881898-883456
part20501	883457-884334
part18774	884335-885622
part13176	885623-886604
part20426	886605-887472
part20590	887473-888729
part16820	888730-889756
part15090	889757-891599
part20489	891600-893595
part20540	893596-894174
part19756	894175-894985
part19584	894986-896000
part19682	896001-896713
part15339	896714-897601
part20517	897602-898974
part20469	898975-899783
part12960	899784-900595
part17084	900596-901761
part17504	901762-903150
part14504	903151-904056
part20354	904057-904985
part19695	904986-905546
part14195	905547-906607
part15431	906608-907858
part15413	907859-909975
part19070	909976-910764
part20491	910765-911556
part20364	911557-912509
part20661	912510-912938
part20538	912939-914027
part19224	914028-915248
part17730	915249-916506
part20406	916507-917143
part20548	917144-918179
part17264	918180-919928
part19673	919929-920511
part17523	920512-921999
part17526	922000-924541
part20355	924542-925476
part17028	925477-927018
part19803	927019-928063
part19552	928064-929165
part19760	929166-930502
part19669	930503-931593
part20552	931594-932806
part18577	932807-934686
part18286	934687-935682
part20510	935683-936802
part19513	936803-938076
part20371	938077-938626
part20597	938627-942324
part20373	942325-943090
part20344	943091-944203
part20413	944204-945312
part20665	945313-946431
part19871	946432-947618
part18562	947619-948422
part20458	948423-950118
part19851	950119-951453
part16141	951454-953536
part20444	953537-954289
part19754	954290-955143
part20566	955144-955904
part20401	955905-956804
part20443	956805-957676
part19825	957677-958559
part17675	958560-960014
part14661	960015-961098
part20620	961099-962170
part14452	962171-964091
part17047	964092-967268
part20412	967269-967748
part14487	967749-970401
part14741	970402-971651
part20624	971652-972049
part19681	972050-973193
part20531	973194-974093
part19510	974094-975119
part20536	975120-976851
part20435	976852-977291
part17231	977292-978787
part20492	978788-979768
part16465	979769-981459
part13749	981460-982790
part20102	982791-983498
part20488	983499-984425
part19327	984426-985573
part20402	985574-986262
part20618	986263-987024
part20663	987025-988460
part18548	988461-989437
part16761	989438-990096
part20550	990097-991001
part20069	991002-991639
part20414	991640-994471
part14196	994472-995152
part16087	995153-995931
part18855	995932-996713
part20436	996714-997357
part15504	997358-999196
part14174	999197-1000476
part19835	1000477-1001142
part19789	1001143-1001942
part16368	1001943-1002837
part17148	1002838-1005012
part18621	1005013-1005811
part20483	1005812-1006883
part16242	1006884-1007771
part20280	1007772-1008827
part14028	1008828-1009542
part19779	1009543-1010906
part14366	1010907-1011627
part13774	1011628-1013466
part19618	1013467-1014601
part19821	1014602-1015296
part17840	1015297-1016905
part13315	1016906-1018007
part13771	1018008-1018752
part14322	1018753-1019649
part20638	1019650-1020505
part15877	1020506-1022466
part18407	1022467-1023196
part19661	1023197-1024599
part20502	1024600-1025466
part14352	1025467-1027468
part17759	1027469-1028259
part16565	1028260-1029231
part13608	1029232-1030501
part20393	1030502-1031816
part20473	1031817-1032715
part17414	1032716-1034172
part19712	1034173-1034969
part20487	1034970-1035666
part16174	1035667-1036384
part20366	1036385-1036805
part17752	1036806-1038170
part20421	1038171-1038936
part15959	1038937-1039614
part20286	1039615-1040453
part13747	1040454-1041667
part20542	1041668-1043329
part20555	1043330-1043903
part18745	1043904-1044978
part20461	1044979-1045560
part20495	1045561-1046147
part18965	1046148-1048248
part13911	1048249-1049235
part20290	1049236-1050320
part20482	1050321-1051032
part14663	1051033-1052010
part20641	1052011-1052997
part20499	1052998-1053886
part20651	1053887-1054487
part19880	1054488-1054945
part17301	1054946-1055840
part13366	1055841-1056711
part19774	1056712-1057260
part20452	1057261-1058084
part20518	1058085-1059550
part20493	1059551-1060017
part19273	1060018-1061610
part20445	1061611-1062510
part20389	1062511-1063293
part19525	1063294-1063746
part20644	1063747-1064532
part15490	1064533-1065180
part20479	1065181-1065968
part13162	1065969-1066609
part14784	1066610-1069186
part20745	1069187-1069975
part19971	1069976-1070585
part20850	1070586-1071077
part16955	1071078-1072001
part20956	1072002-1072815
part20255	1072816-1074196
part20582	1074197-1074665
part15879	1074666-1075256
part19710	1075257-1076342
part20803	1076343-1077362
part20744	1077363-1077869
part20957	1077870-1079118
part20962	1079119-1079877
part20753	1079878-1080578
part19117	1080579-1081126
part20860	1081127-1082368
part20071	1082369-1084309
part14521	1084310-1085062
part20871	1085063-1085968
part13254	1085969-1088299
part19722	1088300-1089324
part15316	1089325-1090401
part20726	1090402-1091794
part18216	1091795-1092846
part20809	1092847-1093512
part14274	1093513-1094473
part20277	1094474-1095825
part20138	1095826-1096644
part20807	1096645-1097785
part17004	1097786-1098262
part20221	1098263-1099154
part20874	1099155-1099661
part20929	1099662-1100177
part20859	1100178-1100830
part20703	1100831-1101705
part20910	1101706-1102420
part19939	1102421-1103125
part18264	1103126-1104118
part20794	1104119-1105070
part19806	1105071-1106072
part20736	1106073-1107156
part20085	1107157-1107941
part20033	1107942-1108919
part19642	1108920-1110831
part20771	1110832-1111915
part20785	1111916-1113866
part20282	1113867-1115237
part20823	1115238-1115915
part13835	1115916-1118137
part18481	1118138-1119295
part20722	1119296-1120101
part13852	1120102-1121139
part20878	1121140-1122321
part20230	1122322-1123298
part14692	1123299-1124028
part21001	1124029-1125458
part20968	1125459-1126359
part17438	1126360-1128088
part16967	1128089-1130589
part20679	1130590-1133279
part20899	1133280-1134338
part17892	1134339-1135376
part20509	1135377-1136390
part20904	1136391-1137021
part16885	1137022-1138257
part20990	1138258-1140940
part13565	1140941-1141639
part14225	1141640-1142379
part19403	1142380-1143330
part20010	1143331-1144007
part20798	1144008-1144596
part16454	1144597-1146050
part20920	1146051-1146948
part20740	1146949-1147830
part20805	1147831-1148390
part13918	1148391-1149058
part18540	1149059-1149596
part16735	1149597-1150499
part20742	1150500-1151197
part16768	1151198-1152038
part20926	1152039-1153113
part20780	1153114-1154308
part20285	1154309-1155029
part15849	1155030-1155824
part14356	1155825-1156901
part20073	1156902-1157682
part19647	1157683-1158789
part20879	1158790-1159482
part15692	1159483-1161280
part20862	1161281-1161853
part20999	1161854-1162507
part19441	1162508-1163979
part15179	1163980-1164882
part15983	1164883-1166381
part15366	1166382-1167239
part20224	1167240-1168126
part15045	1168127-1169097
part16627	1169098-1169606
part20733	1169607-1170215
part20983	1170216-1170937
part14164	1170938-1171424
part20315	1171425-1172205
part19723	1172206-1173026
part20621	1173027-1173880
part15178	1173881-1175635
part20144	1175636-1176628
part17188	1176629-1178094
part20161	1178095-1179295
part17765	1179296-1179812
part20814	1179813-1180548
part19987	1180549-1181480
part20967	1181481-1182009
part19689	1182010-1183080
part20097	1183081-1184154
part20767	1184155-1184881
part20007	1184882-1185557
part20781	1185558-1186206
part14940	1186207-1187107
part20089	1187108-1188310
part20856	1188311-1189019
part19293	1189020-1189928
part19838	1189929-1190851
part14341	1190852-1192425
part20948	1192426-1193452
part20747	1193453-1194574
part20317	1194575-1195777
part16490	1195778-1196687
part13766	1196688-1198033
part15300	1198034-1198660
part20934	1198661-1199371
part20916	1199372-1200230
part20796	1200231-1200903
part17751	1200904-1201849
part20815	1201850-1202974
part19975	1202975-1203741
part15872	1203742-1204538
part20272	1204539-1207032
part18330	1207033-1208318
part13566	1208319-1209071
part20875	1209072-1210105
part20806	1210106-1210807
part19958	1210808-1211811
part14187	1211812-1213259
part20549	1213260-1213944
part20816	1213945-1214367
part14236	1214368-1214976
part20750	1214977-1215631
part15500	1215632-1216390
part20944	1216391-1217492
part20239	1217493-1219040
part20981	1219041-1219674
part17001	1219675-1220963
part20766	1220964-1221906
part20979	1221907-1222625
part19896	1222626-1223959
part20400	1223960-1224532
part20109	1224533-1225877
part20160	1225878-1227148
part20831	1227149-1228167
part20706	1228168-1229281
part20250	1229282-1230209
part20245	1230210-1231359
part20257	1231360-1232202
part14132	1232203-1233440
part20991	1233441-1234603
part20087	1234604-1235583
part18439	1235584-1236087
part20925	1236088-1236998
part18311	1236999-1237934
part19698	1237935-1239285
part20898	1239286-1240078
part20311	1240079-1241106
part16497	1241107-1241931
part14075	1241932-1242555
part20306	1242556-1243758
part19867	1243759-1244748
part20853	1244749-1245431
part19946	1245432-1246361
part20226	1246362-1247594
part20110	1247595-1248722
part20985	1248723-1250103
part17640	1250104-1251088
part20718	1251089-1251803
part20992	1251804-1252783
part14310	1252784-1254444
part19959	1254445-1255284
part20930	1255285-1256643
part20906	1256644-1257367
part20852	1257368-1258607
part20243	1258608-1259661
part20952	1259662-1260353
part20327	1260354-1261609
part19927	1261610-1262566
part20686	1262567-1263140
part20026	1263141-1264556
part20921	1264557-1265640
part20213	1265641-1266479
part20730	1266480-1268019
part20011	1268020-1268819
part20933	1268820-1269776
part18345	1269777-1271715
part20986	1271716-1272283
part20958	1272284-1272993
part20822	1272994-1273671
part20947	1273672-1274237
part20053	1274238-1275466
part17915	1275467-1276806
part20922	1276807-1277774
part20969	1277775-1278465
part20842	1278466-1279437
part20225	1279438-1280267
part20741	1280268-1280827
part20333	1280828-1282257
part20734	1282258-1283061
part20987	1283062-1283870
part16997	1283871-1285323
part20843	1285324-1285897
part20269	1285898-1286653
part20684	1286654-1287400
part20478	1287401-1288148
part20048	1288149-1288963
part20832	1288964-1289578
part20972	1289579-1290480
part20256	1290481-1291503
part15711	1291504-1292742
part15293	1292743-1294183
part19523	1294184-1295623
part20299	1295624-1296322
part19981	1296323-1297652
part20848	1297653-1298072
part20880	1298073-1298801
part20181	1298802-1300039
part19315	1300040-1301412
part20900	1301413-1302048
part20683	1302049-1303250
part20884	1303251-1303880
part20758	1303881-1304809
part20841	1304810-1305921
part20681	1305922-1306629
part20959	1306630-1307078
part14629	1307079-1308327
part20769	1308328-1309553
part18747	1309554-1310347
part14779	1310348-1311240
part21016	1311241-1313806
part17443	1313807-1315291
part14563	1315292-1317359
part19130	1317360-1318761
part20619	1318762-1319829
part20882	1319830-1320512
part15652	1320513-1322205
part19230	1322206-1323441
part20765	1323442-1324232
part20281	1324233-1325127
part20885	1325128-1325972
part20808	1325973-1326952
part16702	1326953-1328366
part14070	1328367-1329043
part20897	1329044-1329829
part17612	1329830-1331832
part19711	1331833-1332636
part20896	1332637-1333480
part15851	1333481-1334458
part19576	1334459-1335249
part20984	1335250-1336399
part17930	1336400-1337639
part20865	1337640-1338345
part20322	1338346-1339136
part20988	1339137-1339923
part20312	1339924-1340957
part19964	1340958-1341773
part20966	1341774-1342383
part20083	1342384-1344054
part19606	1344055-1345180
part16277	1345181-1346636
part20854	1346637-1347262
part14559	1347263-1347866
part20251	1347867-1349178
part16494	1349179-1349899
part15743	1349900-1350710
part20872	1350711-1351271
part20903	1351272-1351824
part18428	1351825-1353060
part20738	1353061-1354041
part19460	1354042-1356185
part20057	1356186-1358077
part14929	1358078-1358644
part14837	1358645-1359578
part20702	1359579-1360196
part16597	1360197-1362069
part19575	1362070-1363236
part12987	1363237-1365207
part20084	1365208-1366170
part20124	1366171-1367607
part14438	1367608-1368716
part19993	1368717-1369465
part20861	1369466-1370592
part17847	1370593-1371242
part20240	1371243-1372345
part20295	1372346-1374054
part20042	1374055-1375308
